run_name,accuracy,uar,f1,train_loss,dev_loss,accuracy.std,uar.std,f1.std,train_loss.std,dev_loss.std,best_iteration,test_accuracy,test_uar,test_f1,test_loss
DCASE2018Task3-16k_Cnn10-AS-0.01-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9093535572408812,0.9068182501868456,0.9073493199473588,0.2267514800459184,0.2589451033967925,0.0034827196681087,0.0031541664114492,0.0033712886594506,0.0016492825432637,0.0209988034333722,13,0.7612916666666667,0.8080142748651947,0.7338858901807318,0.5653749175100801
DCASE2018Task3-16k_Cnn10-AS-0.03-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9093535572408812,0.9067015046872674,0.9073094681187212,0.2282647363487654,0.2504011745844697,0.0020107491378944,0.0032817304475488,0.0024258779053003,0.0030991135040987,0.0006486090556966,7,0.797625,0.8168862121753797,0.7638714801575587,0.5067229555488114
DCASE2018Task3-16k_Cnn10-AS-0.1-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9134464909112796,0.91072919312817,0.911479299564738,0.1870251663370319,0.2519591481523337,0.0007517753699768,0.0019397194896658,0.0011107481877257,0.0033760480748923,0.0028060015950128,7,0.8139166666666666,0.8148614011001603,0.7747915959736708,0.4590356256150125
DCASE2018Task3-16k_Cnn10-AS-0.3-P_Adam_0.001_32_epoch_50_None_None_None_#,0.915974479354761,0.9134605961143653,0.9140965549658334,0.234092808018128,0.238581080534522,0.0004170099452434,0.0003985043070807,0.000126714661676,0.0017788979840092,0.0031650069926976,3,0.8182916666666666,0.8276774010211846,0.7826952592769506,0.4329950963578426
DCASE2018Task3-16k_Cnn10-AS-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9168171421692548,0.9139869050126616,0.914898669237856,0.1797393770481168,0.2467100413670286,0.0027582615233874,0.0012247861406589,0.0022948545602423,0.0019479524682883,0.0066047488151473,7,0.8348333333333334,0.8374694762286544,0.7990140689446172,0.4343906980378118
DCASE2018Task3-16k_Cnn10-AS-animal-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9111592632719392,0.9091665677068002,0.9092854956691584,0.2707279297631993,0.2520241971613488,0.0022553261099307,0.0022075966592831,0.0023425000936508,0.0008375910358541,0.0115989033125074,2,0.8002083333333333,0.820729792258544,0.7666516945264723,0.4866029153223563
DCASE2018Task3-16k_Cnn10-AS-humansounds-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9141687733237028,0.9110986729479426,0.9121634412629468,0.1733667318337382,0.2597664893668328,0.0039615944798132,0.0022979138089746,0.0034698288336574,0.003258319981405,0.0011488923677175,7,0.793125,0.8188113868915784,0.7613709080494027,0.8789699311114743
DCASE2018Task3-16k_Cnn10-AS-naturalsounds-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9098350788491631,0.9083090894747576,0.9080195664655204,0.1948724217851561,0.2710106114442415,0.0065538257319446,0.0050807303720875,0.0065869566285088,0.0013732738064513,0.0208270120701472,14,0.793875,0.8178656523925065,0.7609226624572368,0.5090859778713229
DCASE2018Task3-16k_Cnn10-AS-naturalsources-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9176598049837488,0.9153695431546992,0.9158478484804472,0.2307719129162003,0.2400525935529415,0.0012510298357305,0.0014385009936754,0.0010654844426737,0.0021945159876244,0.0082674186283463,3,0.8341249999999999,0.8398271136411554,0.7990951465421606,0.4659038238705524
DCASE2018Task3-16k_Cnn10-AS-nature-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9121223064885036,0.9104474436074949,0.9103310232232854,0.2460024202267201,0.2486898178403199,0.003978021341485,0.0022848948256012,0.0034639164403985,0.0015640457815118,0.0149623554699097,3,0.7699583333333333,0.8107496560676992,0.7413794244166333,0.7142382544193472
